,Astrocytes 1,Astrocytes 2,Astrocytes 3,Inhibitory 1,Inhibitory 2,Inhibitory 3,Excitatory 1,Excitatory 2,Excitatory 3,Excitatory 4,Microglia 1,Microglia 2,Oligodendrocytes 1,Oligodendrocytes 2,Oligodendrocytes 3,OPCs 1,OPCs 2
Positive Regulation Of Neuron Apoptotic Process,,,,,,,,9.250084518679389,,,,,,,,,
Neuron Projection Maintenance,,,,,,,,,,,,,5.094948800121354,,,,
Regulation Of Neuron Differentiation,,,,,,,,,,,,,,,,3.3349445629413905,
Prolactin Signaling Pathway,,,7.473218060062172,,,,,4.907581347392568,,,,,,,,,
Regulation Of Actin Filament-Based Movement,,4.704269038638018,,,,,,,,,,,,,,,
Regulation Of Actin Filament-Based Process,,3.5074635880847795,,,,,,,,,,,,,,,
Regulation Of Actin Cytoskeleton,,,,,,,,3.1171675281264064,,,,,,,,,
Regulation Of Actin Cytoskeleton Organization,,,,,,,,,5.810801497527147,,,,,,,,
Actin Cytoskeleton Reorganization,,,,,,,,,5.523314885604235,,,,,,,,
Arp2/3 Complex-Mediated Actin Nucleation,,,,,,,,,,3.494485109518193,,,,,,,
Sequestering Of Actin Monomers,,,,,,,,,-3.449949244164856,,3.14616882567685,,,,,,
Positive Regulation Of Actin Filament Polymerization,,,,,,,,,,,4.581788350793788,3.4367005768260954,,,,,
Actin Filament Bundle Assembly,,,,,,,,,,,3.1102369868041033,,,,,,
Positive Regulation Of Actin Nucleation,,,,,,,,,,,,3.0644860971339103,,,,,
Negative Regulation Of Actin Filament Polymerization,,,,,,,,,,,,,,,,,3.776154145708681
Regulation Of Apoptotic Process,,,13.815510557964274,,,,,,,,,,,,,,
Apoptosis-Related Network Due To Altered Notch3 In Ovarian Cancer,,,6.626926570015944,,,,,,,,,,3.909819500265991,,,,
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway,,,6.483459388675144,,6.163181090951601,5.350895909952795,,,-4.641046140863227,9.044522259731547,,,,,-8.318691531736054,,
Apoptosis Signaling Pathway Homo Sapiens,,,6.219992669600659,,,,,,,,,,,,,,
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage,,,3.2536143222459435,,,,,,,,,,,,,,
Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway,,,,,4.0386938632158556,,,,,5.969354878789294,,,,,,,
Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process,,,,-3.0600982441887656,,,,,,,,,,,,,
Positive Regulation Of Protein Insertion Into Mitochondrial Membrane Involved In Apoptotic Signaling Pathway,,,,-3.8143242524491696,,,,,,,,,,,,,
Regulation Of Lymphocyte Apoptotic Process,,,,3.165981954171007,,,,,,,,,,,,,
Apoptotic Process,,,,,,,,,,3.0737073360216263,,,,,,,
Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,,,,,,,,,,5.309293561639108,,,,,,,
Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,,,,,,,,,,5.5679440118661505,,,,,,,
Negative Regulation Of Apoptotic Signaling Pathway,,,,,,,,,-4.769779574204324,8.55438038353246,,,,,,,
Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway,,,,,,,,,,2.997277408410958,,,,,,,
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway,,,,,,,,,-9.214169143597783,4.0911194097887345,,,3.2302467050924513,,-7.726924248745412,,
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage,,,,,,,,,,3.383193649981713,,,3.4759175727745504,,,,
Regulation Of Intrinsic Apoptotic Signaling Pathway,,,,,,,,,-3.3411035319147118,,,,,,,,
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway,,,,,,,,,-3.3888537422831084,6.282372038589009,,,,,,,
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,,,,,,,,,,,3.4313764055020743,,,,,,
Apoptosis Modulation And Signaling,,,,,,,,,,,,3.7794784627013787,,,,,
Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway,,,,,,,,,,,,,,,-5.973439461133678,,
Apoptotic Mitochondrial Changes,,,,,,,,,,,,,,,-3.1379127527357524,,
Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway,,,,,,,,,,,,,,,-4.703259535066167,,
Negative Regulation Of Phagocytosis,,3.625055071602043,,,,,,,,,,,,,,,
Positive Regulation Of Phagocytosis,,,,,,,,,,,4.505722539890916,5.753922088173708,,,,,
"Phagocytosis, Engulfment",,,,,,,,,,,4.784707215020496,5.70741641015812,4.013920854458189,,,,
Regulation Of Phagocytosis,,,,,,,,,,,3.46609641336693,6.264537450470535,,,,,
Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis,,,,,,,,,,,,,3.11429808415762,,,,
Response To Copper Ion,,13.815510557964274,7.629842509840044,,,,,,,,,,,,-4.985414043453352,,
Copper Homeostasis,,3.2994777068090895,4.204077348524192,,,,,,,,,,,,,,
Copper Ion Homeostasis,,,,,,,,3.5132028843436944,,,,,,,,,
Cellular Response To Copper Ion,,,,,,,,,,3.416665403978777,,,,,,3.327581787457445,
Cellular Copper Ion Homeostasis,,,,,,,,,,,,,6.564288482246689,,,,
